日期,工作名稱,公司名稱,公司地址,薪資,工作內容,地區,經歷,學歷,工作網址
2020-07-06,會計助理/專員,金盟營造有限公司,台北市中山區明水路,"26,000",1. 收發、記錄及彙整憑證，登錄至會計軟體。2. 審核發票、單據及一般會計帳務處理。3. 處理廠商貨款或費用等應付款項帳務。4. 處理客戶應收款項帳務。5. 銀行及支票開立作業。6. 定期審核帳務產出相關管理報表。7. 其他相關行政作業。8. 執行主管交辦事項。要求條件 ● 商業及管理學門 相關科系,台北市中山區,1年工作經驗以上,"大學,碩士,博士",https://www.1111.com.tw/job/85985749/
2020-07-08,S-金融理財專員(羅東分公司),永豐金融控股股份有限公司(永豐銀行/永豐金證券/永豐金租賃),台北市中山區八德路,"26,000",1. 負責證券、期貨、選擇權之開發。2. 協銷各項金融商品（如：基金、ETF與結構型商品）。3. 協助客戶進行投資理財規劃。4. 提供投資理財商品的諮詢服務。,宜蘭縣羅東鎮,經驗不拘,"專科,大學,碩士,博士",https://www.1111.com.tw/job/91114561/
2020-07-05,S-金融理財專員(台中分公司),永豐金融控股股份有限公司(永豐銀行/永豐金證券/永豐金租賃),台北市中山區八德路,"26,000","1. 負責證券、期貨、選擇權之開發及接單。 2. 協銷各項金融商品（如：基金、保險及結構型商品）。 3. 協助客戶進行投資理財規劃。 4. 提供投資理財商品的諮詢服務。5. 開發客戶。6. 維護客戶關係。7. 執行客戶指定之交易事項。(本薪26-35K,另依業績狀況核發業績獎金)要求條件 ● 貿易學類,其他商業及管理學類,財務金融學類 相關科系 ● 證券商業務員,期貨商業務員 專業憑證 ● 擁有 輕型機車 駕照",台中市西區,經驗不拘,"專科,大學,碩士,博士",https://www.1111.com.tw/job/86021746/
2020-07-05,S-金融理財專員(員林分公司),永豐金融控股股份有限公司(永豐銀行/永豐金證券/永豐金租賃),台北市中山區八德路,"26,000","1. 負責證券、期貨、選擇權之開發及接單。2. 協銷各項金融商品（如：基金、保險及結構型商品）。3. 協助客戶進行投資理財規劃。4. 提供投資理財商品的諮詢服務。5. 負責法人及VIP客戶的綜合資產管理。(本薪26-35K,另依業績狀況核發業績獎金)要求條件 ● 證券商業務員,期貨商業務員,金融市場常識與職業道德 專業憑證 ● 擁有 輕型機車,普通小型車 駕照",彰化縣員林市,經驗不拘,"高中職,專科,大學,碩士,博士",https://www.1111.com.tw/job/86021779/
2020-07-05,S-金融理財專員(信義分公司),永豐金融控股股份有限公司(永豐銀行/永豐金證券/永豐金租賃),台北市中山區八德路,面議（經常性薪資4萬/月含以上）,"1. 負責證券、期貨、選擇權之開發及接單；提供有關證券、債券、市場條件、投資前途及財務狀況等擬投資之資料。2. 分析證券、債券、外匯及其他財務市場之趨勢。3. 協銷各項金融商品（如：基金、保險及結構型商品）。4. 記錄及傳送證券、股票、公債、外匯等買賣訂單。6. 維護客戶關係。7. 協助客戶進行投資理財規劃；提供投資理財商品的諮詢服務。8. 負責法人及VIP客戶的綜合資產管理。9. 執行客戶指定之交易事項。要求條件 ● 證券商業務員,證券商高級業務員,期貨商業務員 專業憑證",台北市大安區,經驗不拘,"專科,大學,碩士,博士",https://www.1111.com.tw/job/86021774/
2020-07-05,S-金融理財專員(中盛分公司),永豐金融控股股份有限公司(永豐銀行/永豐金證券/永豐金租賃),台北市中山區八德路,"26,000","證券.期權.財富管理等金融理財業務開發與經營.(本薪26-35K,另依業績狀況核發業績獎金)要求條件 ● 證券商業務員 專業憑證",台中市西屯區,經驗不拘,"大學,碩士,博士",https://www.1111.com.tw/job/86021725/
2020-07-05,S-金融理財專員(豐原分公司),永豐金融控股股份有限公司(永豐銀行/永豐金證券/永豐金租賃),台北市中山區八德路,"26,000","1. 提供有關證券、債券、市場條件、投資前途及財務狀況等擬投資之資料。2. 分析證券、債券、外匯及其他財務市場之趨勢。3. 提供契約條款、股票及債券貸款之諮詢及磋商，以便為客戶籌措資金。4. 記錄及傳送證券、股票、公債、外匯等買賣訂單。5. 開發客戶。6. 維護客戶關係。7. 執行客戶指定之交易事項。(本薪26-35K,另依業績狀況核發業績獎金)要求條件 ● 人身保險業務員,證券商業務員,信託業業務人員信託業務專業測驗（信託法規乙科）,投信投顧相關法規（含自律規範） 專業憑證",台中市豐原區,2年工作經驗以上,"大學,碩士,博士",https://www.1111.com.tw/job/86021804/
2020-07-05,S-金融理財專員(萬盛分公司),永豐金融控股股份有限公司(永豐銀行/永豐金證券/永豐金租賃),台北市中山區八德路,"26,000","1. 負責證券、期貨、選擇權之開發。2. 協銷各項金融商品（如：基金、保險及結構型商品）。3. 協助客戶進行投資理財規劃。4. 提供投資理財商品的諮詢服務。5. 負責法人及VIP客戶的綜合資產管理(本薪26-35K,另依業績狀況核發業績獎金)",台北市中山區,經驗不拘,"專科,大學,碩士,博士",https://www.1111.com.tw/job/86021798/
2020-07-05,S-金融理財專員(新竹分公司),永豐金融控股股份有限公司(永豐銀行/永豐金證券/永豐金租賃),台北市中山區八德路,"26,000","1. 負責證券、期貨、選擇權之開發及接單。2. 協銷各項金融商品（如：基金、保險及結構型商品）。3. 協助客戶進行投資理財規劃。4. 提供投資理財商品的諮詢服務。5. 負責法人及VIP客戶的綜合資產管理。(本薪26-35K,另依業績狀況核發業績獎金)要求條件 ● 商業及管理學門 相關科系 ● 證券商業務員,期貨商業務員 專業憑證",新竹市東區,經驗不拘,"高中職,專科,大學,碩士,博士",https://www.1111.com.tw/job/86027461/
2020-07-05,S-金融理財專員(復興分公司),永豐金融控股股份有限公司(永豐銀行/永豐金證券/永豐金租賃),台北市中山區八德路,"26,000","1. 負責證券、期貨、選擇權之開發及接單。2. 協銷各項金融商品（如：基金、保險及結構型商品）。3. 協助客戶進行投資理財規劃。4. 提供投資理財商品的諮詢服務。5. 負責法人及VIP客戶的綜合資產管理。(本薪26-35K,另依業績狀況核發業績獎金)",台北市中山區,經驗不拘,"大學,碩士,博士",https://www.1111.com.tw/job/86021784/
