日期,工作名稱,公司名稱,公司地址,薪資,工作內容,地區,經歷,學歷,公司人數,文章編號,工作網址
廣告,契約 _醫務核保人員,遠雄人壽保險事業股份有限公司(總公司),台北市信義區松高路1號28樓,待遇面議,1.新契約醫務件審核及覆核作業2.核保問題諮詢及溝通處理,台北市信義區,5年以上,大學,員工730人,6psoi,www.104.com.tw/job/6psoi?jobsource=hotjob_chr
廣告,2020數位理專培育計劃,永豐金證券股份有限公司,台北市中正區全台分公司,"30,000",1.應屆畢業生或畢業二年內新人，不限科系，對證券業有興趣者，全台不限區域皆可應徵2.熟悉最新科技趨勢及運用現況，對數位平台經營、社群經營需有基本概念3.透過數位平台經營或網路社群經營開發客群、服務數位引流或合作平台客戶，以提供理財諮詢服務、提供理財產品，滿足客戶財務規劃需求4.配合公司政策，推廣財富管理相關金融商品.工作地點：台北市、新竹市、台中市、台南市、高雄市，綜合個人志願與公司需求分派,台北市中正區,經歷不拘,大學,員工2100人,6xsoy,www.104.com.tw/job/6xsoy?jobsource=hotjob_chr
廣告,無經驗優先面談有經驗優先錄取_內勤電話行銷專員(江子翠站或台北車站旁),元大人壽保險股份有限公司(總公司),台北市中正區,"25,600",1. 獎金好－每月底薪，另加多種獎金，年薪百萬不是夢!2. 續佣讚－提供續期佣金，每年加薪靠自己!3. 名單優－不需依賴人脈，公司提供優質名單！4. 休閒棒－國外旅遊競賽，實現環遊世界夢想!. 休假多－適用勞基法！6. 福利好－享團保(依法投保勞健保)，眷屬優惠團保、三節獎金！7. 訓練強－電銷商品顧問幫您養成專業銷售技能，讓您快速進件！8. 產品佳－強力部隊研發設計符合市場競爭力之特定保險商品！9. 環境優－獨立辦公空間，不必在外跑客戶，打造輕鬆愉快的工作環境！10.專業精－專業輔導新人訓練，讓您快速進入電銷領域！  ,台北市中正區,經歷不拘,高中,,3h7wq,www.104.com.tw/job/3h7wq?jobsource=hotjob_chr
廣告,一般櫃檯暨儲備幹部人員,有限責任彰化第六信用合作社,彰化縣彰化市彰美路一段186號(依公司任用分派各分社營業處)),"26,000","1.工作待遇：試用期三個月月薪 26,000元 +午餐費2400元2.考核通過後 月薪 30,032元 +午餐費2400元3.經辦金融相關業務4.錄取後考取證照.需備有機車駕照",彰化縣彰化市,經歷不拘,專科,員工170人,6xw8s,www.104.com.tw/job/6xw8s?jobsource=hotjob_chr
廣告,會計,臺灣金隆科技股份有限公司,桃園市桃園區中正路1086號16樓,"28,000",1、銀行存款、提款、匯款..相關事宜，網銀交易例行帳務處理。 2、一般現金收付作業，主管交辦行政庶務處理。 3、傳票、零用金、日報表、現金預估表。4、應付帳款、到期票據提醒作業。,桃園市桃園區,2年以上,專科,,65q4x,www.104.com.tw/job/65q4x?jobsource=hotjob_chr
廣告,風險控制管理師 Risk Management,智鈦星平台服務有限公司,台北市信義區市民大道六段288號8樓之8,"32,000",工作內容：1. 數據監控、分析，並以數據資料產出相關報告管控風險。2. 辨視異常狀況及高風險使用者，即時控管並回報事件。3. 產品相關數據計算及調整。4. 軟體更新與升級測試。. 統計分析過往事件、數據，修正並改善風險防範架構。6. 依據相關資料，統計整理日常報表及建議。7. 主管交辦事項,台北市信義區,1年以上,專科,員工70人,6wyuy,www.104.com.tw/job/6wyuy?jobsource=hotjob_chr
廣告,建築設計師1名(新北市永和),喻台生建築師事務所,新北市永和區中和路345號13樓(234),待遇面議,"1.熟AUTO CAD及revit(有設計經驗)2.可自行繪製全套建築執照圖及施工圖3.熟法規,智慧綠建築4.具公有建築設計經驗者.具有能力負責專案推動6.建築系畢7.上班地點新北市永和區(喻台生建築師事務所)8.交通：坐捷運至捷運永安站再走至金融天下大樓或坐公車至雙和里站:57、311(含區間車)、214(含直達車)、950、202、796、793、241",新北市永和區,5年以上,大學,員工160人,6os4t,www.104.com.tw/job/6os4t?jobsource=hotjob_chr
廣告,會計人員,上海商業儲蓄銀行股份有限公司,台北市中山區,"36,300","＊學士：每月薪資(含膳費)NT$36,300",台北市中山區,經歷不拘,大學,員工2300人,5pbpp,www.104.com.tw/job/5pbpp?jobsource=hotjob_chr
廣告,【轉職培訓專案】客戶關懷暨推廣專員(無經驗可/無需加班),盈德網絡服務有限公司,台北市松山區八德路四段760號9樓之1(新亞松山大樓),"32,000","工作說明：1. 電話聯繫金融商品交易平台上之客戶，並回應諮詢問題，進而發展潛在客戶2. 提供推廣/優惠訊息給客戶，以增加客戶的平台使用意向及頻率3. 新進人員皆會接受完整的培訓，通過訓練後享有完善的獎金制度《完整培訓期》為期約3個月-國際金融專業、口條及推廣技巧、平台系統模擬操作本薪+新人獎勵金5,000(出勤正常+評測合格)，期間上班時間固定為09:00-18:00。《上線專業服務》正式上線後(需通過專業測定)，月平均薪資可達38,000~100,000，配合公司業務輪值早、晚班(提供全勤獎勵)。※完整的專業國際金融相關訓練、透明的考核升遷制度。※提供優於業界的服務考核獎金及績效獎金，無需加班或主動銷售。※休假彈性(每月約8-10天)，視當月國定假日天數而定。",台北市松山區,經歷不拘,專科,員工340人,5qs5r,www.104.com.tw/job/5qs5r?jobsource=hotjob_chr
廣告,個金_理財專員FA(全省),中國信託商業銀行股份有限公司,台北市南港區/全省各分行(依公司指派),"34,000",1.提供客戶全方位理財建議與規劃。2.金融商品銷售與諮詢等多樣化金融服務。,台北市南港區,1年以上,專科,員工25000人,2utgw,www.104.com.tw/job/2utgw?jobsource=hotjob_chr
