日期,工作名稱,公司名稱,公司地址,薪資,工作內容,地區,經歷,學歷,工作網址
2020-06-01,電銷客服人員,承保汽車貸款(承保有限公司),裕融 和潤 中租 汽車金融特約經銷商,"25,000",1.對名單客戶進行電話訪問來推廣銷售商品及服務解說2.與客戶維持良好關係，做好顧客關係管理3.向主管回饋市場反應現況與建議做法4.顧客問題反應及處理5.提供顧客最新商品訊息6.建立、記錄並維護顧客資料,桃園市中壢區,經驗不拘,不拘,https://www.1111.com.tw/job/80144545/
2020-06-01,電銷專員(保障底薪),承保汽車貸款(承保有限公司),裕融 和潤 中租 汽車金融特約經銷商,"23,800",1.顧客問題反應及處理2.與客戶維持良好關係，做好顧客關係管理3.建立、記錄並維護顧客資料,桃園市中壢區,經驗不拘,不拘,https://www.1111.com.tw/job/85013692/
2020-06-02,財務分析專員/資深專員(內湖),中嘉網路股份有限公司,台北市內湖區瑞光路,面議（經常性薪資4萬/月含以上）,"1.建立、解讀與管理財務資訊2.編列與管理財務預算3.參與流程強化與專案以優化資源配置管理要求條件 ● 財務金融學類,會計學類,數理統計學類 相關科系",台北市內湖區,1年工作經驗以上,"大學,碩士,博士",https://www.1111.com.tw/job/91418093/
2020-06-01,代書/地政士助理,傳立地政士事務所,高雄市三民區河堤路,"24,000",1.負責一般文書資料處理及歸檔工作。  2.協助主管處理行政工作。  3.協助辦理稅捐、地政機關、建設公司及銀行等代書事務。 4.須有相關經驗要求條件 ● 擁有 輕型機車 駕照 ● 自備 輕型機車,高雄市三民區,經驗不拘,"專科,大學,碩士,博士",https://www.1111.com.tw/job/91418527/
2020-06-03,資訊人員,中部地區金融機構,暫不提供地址,"27,000","(1)收集專案結果並負責新系統之開發與設計及現有系統之修改與擴充。(2)產製系統分析文件、功能規格文件、開發者與使用者手冊。(3)熟悉SQL、VBA、C#.NET、DBASE或數據分析者。(4)收集電腦作業所需輸入之資料，並分送輸出資訊給相關單位，同時進行使用者操作訓練。(5)具相關資訊證照者佳。要求條件 ● 資訊科學學門,電算機學門,數學統計學門 相關科系",彰化縣彰化市,經驗不拘,"大學,碩士,博士",https://www.1111.com.tw/job/91419926/
2020-06-04,金融理財專員(全台),遠東國際商業銀行,台北市大安區敦化南路,"30,000","1.負責各項理財及相關金融商品推廣。2.理專工作經驗3年以下。2.具信託、保險、投信投顧相關證照及銷售服務特質者優先錄取。3.積極，具服務熱忱，勇於挑戰高業績高獎金者。要求條件 ● 人身保險業務員,產物保險業務員,投資型保險商品業務員,外幣收付之非投資型人身保險資格證照,結構型商品銷售人員,金融市場常識與職業道德,信託業業務人員信託業務專業測驗（信託法規乙科）,投信投顧相關法規（含自律規範） 專業憑證",台北市大安區,1年工作經驗以上,"專科,大學,碩士,博士",https://www.1111.com.tw/job/85201713/
2020-06-04,金融資深理財專員(全台),遠東國際商業銀行,台北市大安區敦化南路,面議（經常性薪資4萬/月含以上）,"1.負責各項理財及相關金融商品推廣。2.理專工作經驗3年以上。2.具信託、保險、投信投顧相關證照及銷售服務特質者優先錄取。3.積極，具服務熱忱，勇於挑戰高業績高獎金者。要求條件 ● 人身保險業務員,產物保險業務員,投資型保險商品業務員,外幣收付之非投資型人身保險資格證照,結構型商品銷售人員,金融市場常識與職業道德,信託業業務人員信託業務專業測驗（信託法規乙科）,投信投顧相關法規（含自律規範） 專業憑證",台北市大安區,1年工作經驗以上,"專科,大學,碩士",https://www.1111.com.tw/job/85201724/
2020-06-03,B-財富金融處-理財輔導人員-銀行(新竹),永豐金融控股股份有限公司(永豐銀行/永豐金證券/永豐金租賃),台北市中山區八德路,面議（經常性薪資4萬/月含以上）,"一.依照目標規劃擬定財富產品銷售策略並於營業單位執行二.並依總體經濟分系市場現狀提供產品銷售引導，協助於營業單位推動銀行項各行銷專案，並運用CRM、WM系統分析，篩選客群，整合資源協助營業單位達成目標三.以產品教育訓練提供業務人員產品訊息及銷售技巧四.依據不同客戶屬性提供適當資產配置投資及資產檢視，針對重要客戶提供陪訪服務要求條件 ● 財務金融學類 相關科系 ● 人身保險業務員,財產保險業務員,投資型保險商品業務員,外幣收付之非投資型人身保險資格證照,信託業業務人員信託業務專業測驗,結構型商品銷售人員,金融市場常識與職業道德,投信投顧相關法規（含自律規範）,期貨信託基金銷售機構銷售人員 專業憑證",新竹市東區,3年工作經驗以上,"大學,碩士",https://www.1111.com.tw/job/91461320/
2020-06-03,B-財富金融處-理財輔導人員-銀行(高雄),永豐金融控股股份有限公司(永豐銀行/永豐金證券/永豐金租賃),台北市中山區八德路,面議（經常性薪資4萬/月含以上）,"一.依照目標規劃擬定財富產品銷售策略並於營業單位執行二.並依總體經濟分系市場現狀提供產品銷售引導，協助於營業單位推動銀行項各行銷專案，並運用CRM、WM系統分析，篩選客群，整合資源協助營業單位達成目標三.以產品教育訓練提供業務人員產品訊息及銷售技巧四.依據不同客戶屬性提供適當資產配置投資及資產檢視，針對重要客戶提供陪訪服務要求條件 ● 財務金融學類 相關科系 ● 人身保險業務員,財產保險業務員,投資型保險商品業務員,外幣收付之非投資型人身保險資格證照,信託業業務人員信託業務專業測驗,結構型商品銷售人員,金融市場常識與職業道德,投信投顧相關法規（含自律規範）,期貨信託基金銷售機構銷售人員 專業憑證",高雄市三民區,3年工作經驗以上,"大學,碩士",https://www.1111.com.tw/job/86012490/
2020-06-03,B-財富金融處-理財輔導人員-銀行(台北),永豐金融控股股份有限公司(永豐銀行/永豐金證券/永豐金租賃),台北市中山區八德路,面議（經常性薪資4萬/月含以上）,"一.依照目標規劃擬定財富產品銷售策略並於營業單位執行二.並依總體經濟分系市場現狀提供產品銷售引導，協助於營業單位推動銀行項各行銷專案，並運用CRM、WM系統分析，篩選客群，整合資源協助營業單位達成目標三.以產品教育訓練提供業務人員產品訊息及銷售技巧四.依據不同客戶屬性提供適當資產配置投資及資產檢視，針對重要客戶提供陪訪服務要求條件 ● 財務金融學類 相關科系 ● 人身保險業務員,財產保險業務員,投資型保險商品業務員,外幣收付之非投資型人身保險資格證照,信託業業務人員信託業務專業測驗,結構型商品銷售人員,金融市場常識與職業道德,投信投顧相關法規（含自律規範）,期貨信託基金銷售機構銷售人員 專業憑證",台北市中山區,3年工作經驗以上,"大學,碩士",https://www.1111.com.tw/job/91461317/
